,,,,," 19,388,231.64 ",
Invoice Date,Supplier Name,Supplier Country,Taxable basis,Currency,Tax to pay,Runing Total
20190331,CEBI LUXEMBOURG SA,Luxembourg,393.34,EUR,137.67,36897.11
20190401,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,842.91,EUR,295.02,37192.13
20190331,CEBI LUXEMBOURG SA,Luxembourg,299.62,EUR,104.87,37297
20190331,CEBI LUXEMBOURG SA,Luxembourg,320.92,EUR,112.32,37409.32
20190331,CEBI LUXEMBOURG SA,Luxembourg,474.28,EUR,166,37575.32
20190331,CEBI LUXEMBOURG SA,Luxembourg,702.19,EUR,245.77,37821.09
20190331,CEBI LUXEMBOURG SA,Luxembourg,632.18,EUR,221.26,38042.35
20190331,CEBI LUXEMBOURG SA,Luxembourg,481.17,EUR,168.41,38210.76
20190331,CEBI LUXEMBOURG SA,Luxembourg,1739.5,EUR,608.82,38819.58
20190331,CEBI LUXEMBOURG SA,Luxembourg,357.84,EUR,125.24,38944.82
20190331,CEBI LUXEMBOURG SA,Luxembourg,779.58,EUR,272.85,39217.67
20190331,CEBI LUXEMBOURG SA,Luxembourg,1104.76,EUR,386.67,39604.34
20190331,CEBI LUXEMBOURG SA,Luxembourg,1739.5,EUR,608.82,40213.16
20190331,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,40406.49
20190331,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,40650.02
20190331,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,40843.35
20190331,CEBI LUXEMBOURG SA,Luxembourg,944.87,EUR,330.7,41174.05
20190430,CEBI LUXEMBOURG SA,Luxembourg,665.98,EUR,233.09,41407.14
20190430,CEBI LUXEMBOURG SA,Luxembourg,2612.8,EUR,914.48,42321.62
20190430,CEBI LUXEMBOURG SA,Luxembourg,408.96,EUR,143.14,42464.76
20190430,CEBI LUXEMBOURG SA,Luxembourg,423.16,EUR,148.11,42612.87
20190430,CEBI LUXEMBOURG SA,Luxembourg,1104.19,EUR,386.47,42999.34
20190430,CEBI LUXEMBOURG SA,Luxembourg,363.52,EUR,127.23,43126.57
20190430,CEBI LUXEMBOURG SA,Luxembourg,1361.78,EUR,476.62,43603.19
20190430,CEBI LUXEMBOURG SA,Luxembourg,443.04,EUR,155.06,43758.25
20190430,CEBI LUXEMBOURG SA,Luxembourg,245.38,EUR,85.88,43844.13
20190430,CEBI LUXEMBOURG SA,Luxembourg,484.22,EUR,169.48,44013.61
20190430,CEBI LUXEMBOURG SA,Luxembourg,360.68,EUR,126.24,44139.85
20190430,CEBI LUXEMBOURG SA,Luxembourg,204.48,EUR,71.57,44211.42
20190430,CEBI LUXEMBOURG SA,Luxembourg,306.72,EUR,107.35,44318.77
20190430,CEBI LUXEMBOURG SA,Luxembourg,1112.71,EUR,389.45,44708.22
20190430,CEBI LUXEMBOURG SA,Luxembourg,665.98,EUR,233.09,44941.31
20190401,"DEUTSCHE BANK GRUPPE, LUXEMBURG",Luxembourg,360.68,EUR,126.24,45067.55
20190430,CEBI LUXEMBOURG SA,Luxembourg,330.86,EUR,115.8,45183.35
20190430,CEBI LUXEMBOURG SA,Luxembourg,360.68,EUR,126.24,45309.59
20190430,CEBI LUXEMBOURG SA,Luxembourg,360.68,EUR,126.24,45435.83
20190430,CEBI LUXEMBOURG SA,Luxembourg,481.38,EUR,168.48,45604.31
20190430,CEBI LUXEMBOURG SA,Luxembourg,387.66,EUR,135.68,45739.99
20190430,CEBI LUXEMBOURG SA,Luxembourg,499.84,EUR,174.94,45914.93
20190430,CEBI LUXEMBOURG SA,Luxembourg,1861.62,EUR,651.57,46566.5
20190430,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,46786.17
20190430,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,46945.71
20190430,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,47583.86
20190430,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,47765.76
20190430,CEBI LUXEMBOURG SA,Luxembourg,2761.9,EUR,966.66,48732.42
20190430,CEBI LUXEMBOURG SA,Luxembourg,387.66,EUR,135.68,48868.1
20190430,CEBI LUXEMBOURG SA,Luxembourg,718.85,EUR,251.6,49119.7
20190430,CEBI LUXEMBOURG SA,Luxembourg,347.9,EUR,121.76,49241.46
20190430,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,49332.41
20190531,CEBI LUXEMBOURG SA,Luxembourg,685.86,EUR,240.05,49572.46
20190531,CEBI LUXEMBOURG SA,Luxembourg,204.48,EUR,71.57,49644.03
20190531,CEBI LUXEMBOURG SA,Luxembourg,817.99,EUR,286.3,49930.33
20190531,CEBI LUXEMBOURG SA,Luxembourg,1043.7,EUR,365.3,50295.63
20190531,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,50477.53
20190531,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,50568.48
20190531,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,50812.01
20190531,CEBI LUXEMBOURG SA,Luxembourg,925.84,EUR,324.04,51136.05
20190531,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,51379.58
