Account,Doc. Date,DocumentNo,Type,PK,Amount in LC,Tx,LCurr,Company,Localité
8113000003,2019-04-05,1118000747,KR,40,"-333,7",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-04-05,1118000747,KR,40,"-485,64",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-04-05,1118000747,KR,40,"-312,4",Y1,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-05-03,1118000975,KR,40,"-323,76",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-05-03,1118000975,KR,40,"-191,7",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-06-06,1118001288,KR,40,"-265,82",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-06-06,1118001288,KR,40,"-231,18",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-07-01,1118001504,KR,40,"-119,28",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-07-01,1118001504,KR,40,"-1073,52",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-08-07,1118001731,KR,40,"-636,16",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-08-07,1118001731,KR,40,"-549,54",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-09-02,1118002379,KR,40,"-340,8",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-09-02,1118002379,KR,40,"-749,76",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-10-03,1118002689,KR,40,"-1674,18",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-10-03,1118002689,KR,40,"-1354,68",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-11-04,1118002917,KR,40,"-245,66",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-11-04,1118002917,KR,40,"-269,8",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-12-02,1118003340,KR,40,"-414,64",Y1,USD,Edmond de Rothschild (Europe) SA,Luxembourg
8113000003,2019-12-02,1118003340,KR,40,"-153,13",V0,USD,Edmond de Rothschild (Europe) SA,Luxembourg
